Title, Director, Category, Hearts, Link
DOC CONFERENCE Industry Talks: What's New at Kickstarter?,,Doc Conference,30,https://2019.tiffr.com/shows/doc-conference-industry-talks-what-s-new-at-kickstarter
DOC CONFERENCE Maverick Conversation: A Conversation with Alan Berliner,,Doc Conference,21,https://2019.tiffr.com/shows/doc-conference-maverick-conversation-a-conversation-with-alan-berliner
DOC CONFERENCE Maverick Conversation: A Conversation with Barbara Kopple,,Doc Conference,35,https://2019.tiffr.com/shows/doc-conference-maverick-conversation-a-conversation-with-barbara-kopple
DOC CONFERENCE Maverick Conversation: A Conversation with Robert Fisk & Yung Chang,,Doc Conference,28,https://2019.tiffr.com/shows/doc-conference-maverick-conversation-a-conversation-with-robert-fisk-yung-chang
Dogs Don't Wear Pants,J-P Valkeapää,Contemporary World Cinema,414,https://2019.tiffr.com/shows/dogs-don-t-wear-pants
Dolemite Is My Name,Craig Brewer,Special Presentations,1465,https://2019.tiffr.com/shows/dolemite-is-my-name
A Dry White Season,Euzhan Palcy,TIFF Cinematheque,298,https://2019.tiffr.com/shows/a-dry-white-season
Easy Land,Sanja Zivkovic,Discovery,400,https://2019.tiffr.com/shows/easy-land
The Elder One,Geetu Mohandas,Special Presentations,262,https://2019.tiffr.com/shows/the-elder-one
Ema,Pablo Larraín,Special Presentations,1075,https://2019.tiffr.com/shows/ema
Endings| Beginnings,Drake Doremus,Special Presentations,1284,https://2019.tiffr.com/shows/endings-beginnings
Endless Night,Eloy Enciso,Wavelengths,114,https://2019.tiffr.com/shows/endless-night
Entwined,Minos Nikolakakis,Discovery,359,https://2019.tiffr.com/shows/entwined
Exam,Sonia K. Hadad,Short Cuts,24,https://2019.tiffr.com/shows/exam
The Father,Petar Valchanov| Kristina Grozeva,Contemporary World Cinema,116,https://2019.tiffr.com/shows/the-father
The Fever,Maya Da-Rin,Wavelengths,166,https://2019.tiffr.com/shows/the-fever
Fire Will Come,Oliver Laxe,Wavelengths,212,https://2019.tiffr.com/shows/fire-will-come
First Love,Takashi Miike,Midnight Madness,768,https://2019.tiffr.com/shows/first-love
Fists in the Pocket,Marco Bellocchio,TIFF Cinematheque,98,https://2019.tiffr.com/shows/fists-in-the-pocket
Flatland,Jenna Bass,Contemporary World Cinema,550,https://2019.tiffr.com/shows/flatland
Flesh,Camila Kater,Short Cuts,23,https://2019.tiffr.com/shows/flesh
Flood,Joseph Amenta,Short Cuts,91,https://2019.tiffr.com/shows/flood
A Fool God,Hiwot Admasu Getaneh,Short Cuts,28,https://2019.tiffr.com/shows/a-fool-god
Ford v Ferrari,James Mangold,Gala Presentations,2105,https://2019.tiffr.com/shows/ford-v-ferrari
FOUNDATIONS A Guide to International Funding Partnerships,,Industry Conference,52,https://2019.tiffr.com/shows/foundations-a-guide-to-international-funding-partnerships
FOUNDATIONS All About Directing TV,,Industry Conference,60,https://2019.tiffr.com/shows/foundations-all-about-directing-tv
FOUNDATIONS Authentic Casting: The Real World on Screen,,Industry Conference,47,https://2019.tiffr.com/shows/foundations-authentic-casting-the-real-world-on-screen
FOUNDATIONS Going Green: Sustainable Practices in Film & TV,,Industry Conference,27,https://2019.tiffr.com/shows/foundations-going-green-sustainable-practices-in-film-tv
FOUNDATIONS Story Incubator: How to Maximize your IP,,Industry Conference,64,https://2019.tiffr.com/shows/foundations-story-incubator-how-to-maximize-your-ip
FOUNDATIONS The Truth About Directing,,Industry Conference,69,https://2019.tiffr.com/shows/foundations-the-truth-about-directing
Frankie,Ira Sachs,Special Presentations,1227,https://2019.tiffr.com/shows/frankie
The Friend,Gabriela Cowperthwaite,Special Presentations,989,https://2019.tiffr.com/shows/the-friend
The Giant,David Raboy,Discovery,646,https://2019.tiffr.com/shows/the-giant
A Girl Missing,Koji Fukada,Contemporary World Cinema,540,https://2019.tiffr.com/shows/a-girl-missing
God's Nightmares,Daniel Cockburn,Short Cuts,60,https://2019.tiffr.com/shows/god-s-nightmares
The Goldfinch,John Crowley,Gala Presentations,1990,https://2019.tiffr.com/shows/the-goldfinch
The Good Intentions,Ana García Blaya,Discovery,297,https://2019.tiffr.com/shows/the-good-intentions
Greed,Michael Winterbottom,Special Presentations,1428,https://2019.tiffr.com/shows/greed
Guest of Honour,Atom Egoyan,Special Presentations,849,https://2019.tiffr.com/shows/guest-of-honour
Gundala,Joko Anwar,Midnight Madness,459,https://2019.tiffr.com/shows/gundala
Guns Akimbo,Jason Lei Howden,Special Presentations,1122,https://2019.tiffr.com/shows/guns-akimbo
Hala,Minhal Baig,Contemporary World Cinema,561,https://2019.tiffr.com/shows/hala
Harriet,Kasi Lemmons,Gala Presentations,1602,https://2019.tiffr.com/shows/harriet
Hearts and Bones,Ben Lawrence,Discovery,331,https://2019.tiffr.com/shows/hearts-and-bones
Heavy Metal Detox,Josef Dabernig,Wavelengths,18,https://2019.tiffr.com/shows/heavy-metal-detox
Heimat is a Space in Time,Thomas Heise,Wavelengths,138,https://2019.tiffr.com/shows/heimat-is-a-space-in-time
Hello Ahma,Siyou Tan,Short Cuts,7,https://2019.tiffr.com/shows/hello-ahma
Henry Glassie: Field Work,Pat Collins,Contemporary World Cinema,147,https://2019.tiffr.com/shows/henry-glassie-field-work
A Herdade,Tiago Guedes,Special Presentations,327,https://2019.tiffr.com/shows/a-herdade
Heroic Losers,Sebastian Borensztein,Special Presentations,744,https://2019.tiffr.com/shows/heroic-losers
A Hidden Life,Terrence Malick,Masters,1472,https://2019.tiffr.com/shows/a-hidden-life
Highway to Heaven,Sandra Ignagni,Short Cuts,58,https://2019.tiffr.com/shows/highway-to-heaven
Honey Boy,Alma Har'el,Gala Presentations,1392,https://2019.tiffr.com/shows/honey-boy
Hope,Maria Sødahl,Discovery,311,https://2019.tiffr.com/shows/hope
Hope Gap,William Nicholson,Special Presentations,951,https://2019.tiffr.com/shows/hope-gap
Hot Flash,Thea Hollatz,Short Cuts,78,https://2019.tiffr.com/shows/hot-flash
How to Build a Girl,Coky Giedroyc,Special Presentations,2209,https://2019.tiffr.com/shows/how-to-build-a-girl
